"fraud_id","account_id","transaction_id","fraud_type","fraud_details","detection_date"
82,167,2832,"Dynamic Large Transaction Fraud","Transaction amount: $41573.18 exceeds 37331.48 (threshold)","2024-08-24 00:03:23"
83,196,2865,"Dynamic Large Transaction Fraud","Transaction amount: $48546.09 exceeds 44499.23 (threshold)","2024-08-24 00:03:23"
84,183,2921,"Dynamic Large Transaction Fraud","Transaction amount: $48342.28 exceeds 44880.46 (threshold)","2024-08-24 00:03:23"
85,96,2962,"Dynamic Large Transaction Fraud","Transaction amount: $47473.55 exceeds 46765.59 (threshold)","2024-08-24 00:03:23"
86,185,3001,"Dynamic Large Transaction Fraud","Transaction amount: $48915.81 exceeds 48705.72 (threshold)","2024-08-24 00:03:23"
87,195,3047,"Dynamic Large Transaction Fraud","Transaction amount: $49099.35 exceeds 45775.84 (threshold)","2024-08-24 00:03:23"
88,130,3055,"Dynamic Large Transaction Fraud","Transaction amount: $48391.72 exceeds 40298.24 (threshold)","2024-08-24 00:03:23"
89,159,3090,"Dynamic Large Transaction Fraud","Transaction amount: $49679.68 exceeds 42057.60 (threshold)","2024-08-24 00:03:23"
90,189,3091,"Dynamic Large Transaction Fraud","Transaction amount: $46708.04 exceeds 45045.84 (threshold)","2024-08-24 00:03:23"
91,20,3266,"Dynamic Large Transaction Fraud","Transaction amount: $47113.84 exceeds 45565.89 (threshold)","2024-08-24 00:03:23"
92,106,3278,"Dynamic Large Transaction Fraud","Transaction amount: $46527.20 exceeds 41637.92 (threshold)","2024-08-24 00:03:23"
93,23,3293,"Dynamic Large Transaction Fraud","Transaction amount: $46826.53 exceeds 46084.36 (threshold)","2024-08-24 00:03:23"
94,145,3326,"Dynamic Large Transaction Fraud","Transaction amount: $48499.56 exceeds 42795.70 (threshold)","2024-08-24 00:03:23"
95,180,3341,"Dynamic Large Transaction Fraud","Transaction amount: $49946.13 exceeds 43296.78 (threshold)","2024-08-24 00:03:23"
96,183,3357,"Dynamic Large Transaction Fraud","Transaction amount: $49580.19 exceeds 44880.46 (threshold)","2024-08-24 00:03:23"
97,20,3364,"Dynamic Large Transaction Fraud","Transaction amount: $47621.88 exceeds 45565.89 (threshold)","2024-08-24 00:03:23"
98,96,3397,"Dynamic Large Transaction Fraud","Transaction amount: $47541.67 exceeds 46765.59 (threshold)","2024-08-24 00:03:23"
99,78,3494,"Dynamic Large Transaction Fraud","Transaction amount: $46104.83 exceeds 45362.94 (threshold)","2024-08-24 00:03:23"
100,91,3501,"Dynamic Large Transaction Fraud","Transaction amount: $47014.17 exceeds 40633.50 (threshold)","2024-08-24 00:03:23"
101,75,3521,"Dynamic Large Transaction Fraud","Transaction amount: $41971.95 exceeds 41700.33 (threshold)","2024-08-24 00:03:23"
102,14,3525,"Dynamic Large Transaction Fraud","Transaction amount: $43222.51 exceeds 41849.83 (threshold)","2024-08-24 00:03:23"
103,40,3529,"Dynamic Large Transaction Fraud","Transaction amount: $48161.62 exceeds 46599.83 (threshold)","2024-08-24 00:03:23"
104,108,3595,"Dynamic Large Transaction Fraud","Transaction amount: $47684.82 exceeds 46229.10 (threshold)","2024-08-24 00:03:23"
105,171,3641,"Dynamic Large Transaction Fraud","Transaction amount: $48648.25 exceeds 48390.59 (threshold)","2024-08-24 00:03:23"
106,75,3651,"Dynamic Large Transaction Fraud","Transaction amount: $44950.67 exceeds 41700.33 (threshold)","2024-08-24 00:03:23"
107,117,3714,"Dynamic Large Transaction Fraud","Transaction amount: $48990.23 exceeds 47385.67 (threshold)","2024-08-24 00:03:23"
108,51,3763,"Dynamic Large Transaction Fraud","Transaction amount: $42878.29 exceeds 41982.13 (threshold)","2024-08-24 00:03:23"
109,121,3767,"Dynamic Large Transaction Fraud","Transaction amount: $46049.34 exceeds 41350.50 (threshold)","2024-08-24 00:03:23"
110,69,3826,"Dynamic Large Transaction Fraud","Transaction amount: $43383.63 exceeds 38816.67 (threshold)","2024-08-24 00:03:23"
111,193,3845,"Dynamic Large Transaction Fraud","Transaction amount: $48036.13 exceeds 46542.05 (threshold)","2024-08-24 00:03:23"
112,159,3878,"Dynamic Large Transaction Fraud","Transaction amount: $42319.15 exceeds 42057.60 (threshold)","2024-08-24 00:03:23"
113,149,3883,"Dynamic Large Transaction Fraud","Transaction amount: $44315.25 exceeds 39338.63 (threshold)","2024-08-24 00:03:23"
114,40,3909,"Dynamic Large Transaction Fraud","Transaction amount: $46733.65 exceeds 46599.83 (threshold)","2024-08-24 00:03:23"
115,35,3913,"Dynamic Large Transaction Fraud","Transaction amount: $45843.49 exceeds 45364.32 (threshold)","2024-08-24 00:03:23"
116,121,3921,"Dynamic Large Transaction Fraud","Transaction amount: $45865.92 exceeds 41350.50 (threshold)","2024-08-24 00:03:23"
117,183,3973,"Dynamic Large Transaction Fraud","Transaction amount: $45713.62 exceeds 44880.46 (threshold)","2024-08-24 00:03:23"
118,156,4000,"Dynamic Large Transaction Fraud","Transaction amount: $45108.53 exceeds 44481.55 (threshold)","2024-08-24 00:03:23"
119,188,4002,"Dynamic Large Transaction Fraud","Transaction amount: $49971.84 exceeds 48508.05 (threshold)","2024-08-24 00:03:23"
120,154,4081,"Dynamic Large Transaction Fraud","Transaction amount: $45203.47 exceeds 44321.09 (threshold)","2024-08-24 00:03:23"
121,121,4104,"Dynamic Large Transaction Fraud","Transaction amount: $46938.69 exceeds 41350.50 (threshold)","2024-08-24 00:03:23"
122,35,4134,"Dynamic Large Transaction Fraud","Transaction amount: $45718.23 exceeds 45364.32 (threshold)","2024-08-24 00:03:23"
123,189,4181,"Dynamic Large Transaction Fraud","Transaction amount: $47290.47 exceeds 45045.84 (threshold)","2024-08-24 00:03:23"
124,22,4186,"Dynamic Large Transaction Fraud","Transaction amount: $44726.48 exceeds 39465.45 (threshold)","2024-08-24 00:03:23"
125,161,4203,"Dynamic Large Transaction Fraud","Transaction amount: $44992.62 exceeds 42403.00 (threshold)","2024-08-24 00:03:23"
126,161,4207,"Dynamic Large Transaction Fraud","Transaction amount: $46815.03 exceeds 42403.00 (threshold)","2024-08-24 00:03:23"
127,106,4209,"Dynamic Large Transaction Fraud","Transaction amount: $42383.10 exceeds 41637.92 (threshold)","2024-08-24 00:03:23"
128,88,4215,"Dynamic Large Transaction Fraud","Transaction amount: $47007.93 exceeds 41791.93 (threshold)","2024-08-24 00:03:23"
129,35,4235,"Dynamic Large Transaction Fraud","Transaction amount: $48738.71 exceeds 45364.32 (threshold)","2024-08-24 00:03:23"
130,133,4292,"Dynamic Large Transaction Fraud","Transaction amount: $45245.09 exceeds 41017.43 (threshold)","2024-08-24 00:03:23"
131,28,4324,"Dynamic Large Transaction Fraud","Transaction amount: $48120.72 exceeds 46216.77 (threshold)","2024-08-24 00:03:23"
132,97,4330,"Dynamic Large Transaction Fraud","Transaction amount: $49697.45 exceeds 48878.13 (threshold)","2024-08-24 00:03:23"
133,187,4339,"Dynamic Large Transaction Fraud","Transaction amount: $49652.24 exceeds 42912.86 (threshold)","2024-08-24 00:03:23"
134,185,4471,"Dynamic Large Transaction Fraud","Transaction amount: $49075.47 exceeds 48705.72 (threshold)","2024-08-24 00:03:23"
135,75,4472,"Dynamic Large Transaction Fraud","Transaction amount: $42305.39 exceeds 41700.33 (threshold)","2024-08-24 00:03:23"
136,173,4475,"Dynamic Large Transaction Fraud","Transaction amount: $49435.08 exceeds 48632.89 (threshold)","2024-08-24 00:03:23"
137,22,4497,"Dynamic Large Transaction Fraud","Transaction amount: $46860.64 exceeds 39465.45 (threshold)","2024-08-24 00:03:23"
138,145,4510,"Dynamic Large Transaction Fraud","Transaction amount: $45804.32 exceeds 42795.70 (threshold)","2024-08-24 00:03:23"
139,187,4594,"Dynamic Large Transaction Fraud","Transaction amount: $45764.09 exceeds 42912.86 (threshold)","2024-08-24 00:03:23"
140,78,4601,"Dynamic Large Transaction Fraud","Transaction amount: $49143.09 exceeds 45362.94 (threshold)","2024-08-24 00:03:23"
141,188,4621,"Dynamic Large Transaction Fraud","Transaction amount: $48828.50 exceeds 48508.05 (threshold)","2024-08-24 00:03:23"
142,195,4737,"Dynamic Large Transaction Fraud","Transaction amount: $49647.69 exceeds 45775.84 (threshold)","2024-08-24 00:03:23"
143,125,4747,"Dynamic Large Transaction Fraud","Transaction amount: $47996.14 exceeds 45793.97 (threshold)","2024-08-24 00:03:23"
144,72,4757,"Dynamic Large Transaction Fraud","Transaction amount: $46399.90 exceeds 42563.20 (threshold)","2024-08-24 00:03:23"
145,125,4792,"Dynamic Large Transaction Fraud","Transaction amount: $47496.04 exceeds 45793.97 (threshold)","2024-08-24 00:03:23"
146,161,4793,"Dynamic Large Transaction Fraud","Transaction amount: $48715.92 exceeds 42403.00 (threshold)","2024-08-24 00:03:23"
147,51,4797,"Dynamic Large Transaction Fraud","Transaction amount: $48545.80 exceeds 41982.13 (threshold)","2024-08-24 00:03:23"
148,98,4798,"Dynamic Large Transaction Fraud","Transaction amount: $46510.87 exceeds 44700.60 (threshold)","2024-08-24 00:03:23"
149,149,4803,"Dynamic Large Transaction Fraud","Transaction amount: $46633.86 exceeds 39338.63 (threshold)","2024-08-24 00:03:23"
150,40,4852,"Dynamic Large Transaction Fraud","Transaction amount: $47057.74 exceeds 46599.83 (threshold)","2024-08-24 00:03:23"
151,130,4901,"Dynamic Large Transaction Fraud","Transaction amount: $47320.77 exceeds 40298.24 (threshold)","2024-08-24 00:03:23"
152,151,4964,"Dynamic Large Transaction Fraud","Transaction amount: $49082.44 exceeds 47613.87 (threshold)","2024-08-24 00:03:23"
153,169,4995,"Dynamic Large Transaction Fraud","Transaction amount: $48757.35 exceeds 45698.74 (threshold)","2024-08-24 00:03:23"
256,5,2012,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2014-09-08 transaction id 210 and 2016-01-18 is 497 days.","2024-08-24 00:03:26"
257,7,2228,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2021-11-24 transaction id 772 and 2023-06-29 is 582 days.","2024-08-24 00:03:26"
258,7,991,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2013-06-20 transaction id 4961 and 2014-07-02 is 377 days.","2024-08-24 00:03:26"
259,8,1430,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2023-02-17 transaction id 2037 and 2024-03-02 is 379 days.","2024-08-24 00:03:26"
260,11,3112,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2020-03-11 transaction id 1313 and 2021-09-22 is 560 days.","2024-08-24 00:03:26"
261,11,2119,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2016-12-13 transaction id 2413 and 2018-02-23 is 437 days.","2024-08-24 00:03:26"
262,18,96,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2019-03-01 transaction id 3753 and 2021-05-31 is 822 days.","2024-08-24 00:03:26"
263,19,1167,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2020-01-26 transaction id 3638 and 2021-08-22 is 574 days.","2024-08-24 00:03:26"
264,21,4441,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2014-07-07 transaction id 4265 and 2019-02-13 is 1682 days.","2024-08-24 00:03:26"
265,21,3621,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2012-05-01 transaction id 3419 and 2013-06-30 is 425 days.","2024-08-24 00:03:26"
266,31,3634,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2016-08-26 transaction id 4116 and 2018-02-16 is 539 days.","2024-08-24 00:03:26"
267,33,3784,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2016-12-29 transaction id 800 and 2018-04-17 is 474 days.","2024-08-24 00:03:26"
268,33,3013,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2012-04-07 transaction id 3346 and 2013-05-24 is 412 days.","2024-08-24 00:03:26"
269,35,3913,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2022-07-26 transaction id 2651 and 2024-05-16 is 660 days.","2024-08-24 00:03:26"
270,36,1050,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2014-08-21 transaction id 2255 and 2015-11-07 is 443 days.","2024-08-24 00:03:26"
271,37,3168,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2016-02-13 transaction id 760 and 2018-03-27 is 773 days.","2024-08-24 00:03:26"
272,39,4200,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2017-09-06 transaction id 3216 and 2018-11-18 is 438 days.","2024-08-24 00:03:26"
273,39,4108,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2010-12-20 transaction id 4334 and 2012-03-04 is 440 days.","2024-08-24 00:03:26"
274,42,2600,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2016-06-09 transaction id 2763 and 2017-09-15 is 463 days.","2024-08-24 00:03:26"
275,42,4897,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2019-03-05 transaction id 977 and 2021-02-27 is 725 days.","2024-08-24 00:03:26"
276,44,4629,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2017-03-11 transaction id 3993 and 2018-08-05 is 512 days.","2024-08-24 00:03:26"
277,46,4071,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2016-05-15 transaction id 1107 and 2017-08-02 is 444 days.","2024-08-24 00:03:26"
278,48,4489,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2019-05-11 transaction id 183 and 2021-01-24 is 624 days.","2024-08-24 00:03:26"
279,48,4545,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2021-06-09 transaction id 3739 and 2022-06-15 is 371 days.","2024-08-24 00:03:26"
280,50,3374,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2020-07-24 transaction id 2785 and 2023-07-20 is 1091 days.","2024-08-24 00:03:26"
281,53,1713,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2022-10-27 transaction id 984 and 2024-05-23 is 574 days.","2024-08-24 00:03:26"
282,55,1118,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2022-03-17 transaction id 1172 and 2023-06-14 is 454 days.","2024-08-24 00:03:26"
283,55,2799,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2012-11-11 transaction id 4511 and 2014-02-14 is 460 days.","2024-08-24 00:03:26"
284,55,4371,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2020-04-14 transaction id 1252 and 2021-12-11 is 606 days.","2024-08-24 00:03:26"
285,55,351,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2014-08-24 transaction id 414 and 2016-04-20 is 605 days.","2024-08-24 00:03:26"
286,55,254,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2010-07-18 transaction id 1278 and 2011-10-25 is 464 days.","2024-08-24 00:03:26"
287,59,1239,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2019-08-20 transaction id 4795 and 2020-10-13 is 420 days.","2024-08-24 00:03:26"
288,59,956,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2020-12-27 transaction id 1601 and 2022-05-12 is 501 days.","2024-08-24 00:03:26"
289,61,4920,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2018-06-10 transaction id 626 and 2019-06-30 is 385 days.","2024-08-24 00:03:26"
290,64,3633,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2015-03-05 transaction id 840 and 2016-09-28 is 573 days.","2024-08-24 00:03:26"
291,65,141,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2019-10-19 transaction id 3378 and 2021-03-22 is 520 days.","2024-08-24 00:03:26"
292,66,2853,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2017-04-22 transaction id 3956 and 2018-08-04 is 469 days.","2024-08-24 00:03:26"
293,67,2979,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2014-01-04 transaction id 353 and 2016-03-17 is 803 days.","2024-08-24 00:03:26"
294,68,1202,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2007-02-25 transaction id 4041 and 2009-02-20 is 726 days.","2024-08-24 00:03:26"
295,69,1810,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2014-04-02 transaction id 1484 and 2015-05-27 is 420 days.","2024-08-24 00:03:26"
296,69,3826,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2022-09-20 transaction id 570 and 2023-10-11 is 386 days.","2024-08-24 00:03:26"
297,73,3473,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2014-02-06 transaction id 2461 and 2016-02-18 is 742 days.","2024-08-24 00:03:26"
298,74,722,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2016-11-16 transaction id 3576 and 2018-10-05 is 688 days.","2024-08-24 00:03:26"
299,74,233,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2008-05-17 transaction id 1213 and 2009-05-24 is 372 days.","2024-08-24 00:03:26"
300,77,2699,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2022-07-19 transaction id 471 and 2023-07-25 is 371 days.","2024-08-24 00:03:26"
301,85,3688,"Gap Between Transactions Exceeds 1 year","Gap between transaction on 2009-01-10 transaction id 84 and 2010-04-08 is 453 days.","2024-08-24 00:03:26"
