transaction_id,account_id,merchant_id,amount,transaction_date,transaction_time
69,156,13,11484.34,2023-07-23,13:23:30
70,104,45,44898.63,2022-04-21,17:04:21
71,27,41,39020.81,2019-07-16,12:09:09
72,129,46,21027.61,2023-06-20,17:28:07
73,52,21,29266.74,2023-08-13,14:00:24
74,54,41,34705.69,2020-11-27,17:08:20
75,174,18,43665.58,2023-03-21,11:37:18
76,76,25,34366.94,2022-08-15,03:20:14
77,9,50,20198.29,2024-06-09,17:57:00
78,44,7,8993.74,2009-11-04,03:41:37
79,132,3,31876.16,2020-10-03,12:45:59
80,14,9,15064.53,2019-08-07,18:06:24
81,90,45,33944.55,2021-07-21,18:16:23
82,191,17,31519.03,2024-08-17,16:18:54
83,94,35,43191.61,2010-10-08,08:10:01
84,85,33,30069.51,2009-01-10,11:03:15
85,140,17,17385.04,2013-01-01,14:10:15
86,29,13,10511.25,2021-07-01,18:59:27
87,40,10,44544.28,2021-06-27,21:09:52
88,42,47,44601.09,2023-10-12,02:17:20
89,79,12,43220.22,2023-10-29,09:32:35
90,82,18,49351.57,2009-01-21,11:10:23
91,145,33,24688.19,2023-12-22,20:48:16
92,60,48,21689.14,2024-06-22,06:32:20
93,178,34,40173.18,2024-03-29,11:31:53
94,111,49,12529.14,2020-03-22,13:43:23
95,120,31,33706.05,2011-07-13,17:38:01
96,18,39,43768.42,2021-05-31,02:01:52
97,84,28,32784.37,2022-04-28,11:20:33
98,38,34,18136.88,2008-12-08,23:09:52
99,44,24,21931.53,2015-05-19,04:05:04
100,45,45,38996.09,2022-02-09,00:36:13
101,127,11,30595.23,2024-06-04,03:55:31
102,4,10,37609.07,2016-10-17,22:47:08
103,76,32,39203.79,2023-06-29,16:01:39
104,39,48,16382.83,2010-12-10,19:14:25
105,159,17,17235.84,2016-11-07,04:28:43
106,96,14,845.64,2020-09-14,07:17:58
107,33,3,45338.54,2014-08-14,12:53:05
108,24,32,23368.87,2018-11-12,22:45:35
109,117,40,40068.79,2019-12-22,09:49:09
110,17,34,45323.76,2018-06-27,22:53:04
111,28,17,33839.06,2021-09-06,00:00:03
112,117,31,46381.24,2019-12-31,21:24:02
113,30,29,36241.87,2024-08-21,03:40:56
114,39,13,36578.12,2024-02-14,09:44:19
115,89,20,7326.36,2019-06-03,22:15:14
116,85,42,43297.55,2007-06-16,02:03:39
117,3,20,43548.62,2020-08-19,06:40:04
118,124,21,45852.86,2013-01-02,12:55:24
119,147,12,1316.43,2014-11-24,05:11:12
120,89,30,24259.16,2014-08-03,02:12:44
121,199,14,1857.94,2019-07-10,17:49:18
122,178,24,48811.86,2024-07-06,08:38:49
123,33,12,19272.88,2022-09-20,12:28:14
124,156,10,38754.4,2024-06-23,03:19:36
125,106,18,16164.7,2023-12-29,23:41:51
126,141,24,21310.13,2020-11-17,05:27:42
127,176,17,16828.87,2023-02-11,12:34:28
128,190,44,21174.79,2023-11-23,12:32:22
129,68,25,47853.2,2016-05-30,06:50:16
130,44,21,2074.61,2010-11-12,22:57:02
131,97,48,34778.05,2022-12-02,08:31:54
132,156,44,25012.29,2024-04-27,07:54:39
133,4,45,36589.16,2015-02-11,18:44:51
134,61,1,31416.01,2020-02-11,05:19:13
135,19,36,233.21,2013-09-06,04:10:32
136,114,12,29582.01,2015-10-26,00:07:48
137,182,9,29254.09,2021-05-11,20:50:03
138,80,10,16672.42,2023-06-22,16:11:49
139,18,1,20126.66,2022-03-05,23:11:43
140,191,46,30272.97,2024-08-21,13:51:53
141,65,26,40242.03,2021-03-22,16:53:15
142,190,38,17311.81,2024-02-11,21:18:00
143,118,12,12240.88,2020-03-29,02:35:35
144,186,2,41087.85,2021-07-30,22:25:56
145,78,3,46947.99,2023-07-13,19:46:49
146,45,1,28568.97,2023-07-11,05:57:29
147,61,24,46997.39,2021-08-31,02:34:48
148,75,33,9049.49,2022-06-08,23:41:03
149,110,6,4356.91,2023-12-20,17:07:00
150,97,6,3506.3,2022-04-28,02:26:44
151,34,29,32754.74,2018-02-14,20:37:30
152,177,1,49397.73,2024-03-24,00:10:31
153,91,45,22960.5,2021-10-27,04:03:58
154,162,43,40415.57,2018-08-07,18:33:05
155,62,2,46332.24,2024-03-21,14:21:14
156,10,36,4177.97,2023-03-12,06:33:45
157,94,13,10897.05,2014-07-13,18:15:41
158,29,10,16377.57,2016-03-15,15:41:02
159,153,44,4656.84,2022-04-09,20:09:23
160,174,28,1267.21,2020-12-08,07:11:09
161,81,15,31456.28,2013-12-09,04:07:17
162,188,44,5676.95,2020-03-09,09:55:25
163,172,14,11653.69,2018-07-24,05:14:18
164,31,24,20037.88,2012-07-20,17:38:00
165,78,41,49920.79,2022-12-19,22:07:25
166,4,43,2560.23,2019-11-01,21:21:26
167,82,14,8332.12,2018-02-14,04:05:07
168,26,19,10812.57,2015-10-05,09:39:44
169,184,33,43917.19,2024-02-28,07:11:31
170,94,27,16278.37,2012-05-29,14:40:37
171,111,49,6738.77,2017-05-14,15:11:48
172,144,2,34628.39,2017-02-19,15:36:08
173,150,12,38628.77,2023-01-05,13:11:30
174,94,2,30867.66,2014-10-28,02:10:30
175,84,49,42023.77,2023-07-10,10:54:36
176,74,45,30423.92,2014-10-23,19:32:59
177,133,22,28027.21,2024-08-19,02:41:36
178,18,7,13643.36,2024-07-31,03:48:18
179,137,38,28030.55,2012-05-27,02:06:17
180,178,20,27831.35,2024-05-11,13:07:15
181,93,10,39740.71,2022-02-10,06:01:46
182,196,45,24687.95,2024-04-18,22:21:00
183,48,8,4183.04,2019-05-11,12:39:10
184,169,46,25095.84,2021-11-13,19:27:13
185,73,5,13330.66,2019-12-15,09:44:59
186,154,24,32270.45,2023-09-20,08:50:10
187,177,41,16363.84,2024-06-28,21:38:26
188,12,47,43470.18,2017-12-19,07:57:29
189,121,47,6597.65,2017-10-26,04:16:58
190,88,43,2283.56,2020-03-29,05:30:59
191,187,28,41333.26,2015-10-24,15:41:00
192,90,49,26984.49,2020-05-08,16:01:20
193,178,19,20493.0,2024-05-04,22:06:34
194,151,2,6209.1,2022-02-25,13:12:13
195,148,20,46733.84,2022-05-24,00:13:40
196,99,39,6220.22,2022-07-28,21:46:37
197,103,3,969.07,2024-08-14,00:09:02
198,62,31,19835.35,2022-03-26,00:24:08
199,79,1,3290.11,2024-01-12,00:32:44
200,4,32,43071.75,2021-12-07,02:03:59
201,39,27,15063.47,2017-01-23,05:30:33
202,145,32,9485.45,2019-12-22,02:04:13
203,76,9,4176.46,2012-10-19,07:03:47
204,169,30,3094.67,2023-05-24,05:03:14
205,127,11,17878.11,2024-05-31,20:21:31
206,33,42,11205.48,2015-09-08,01:21:50
207,112,21,4116.89,2024-07-28,01:52:40
208,186,13,23215.35,2021-06-21,00:41:20
209,10,33,13243.94,2018-08-23,14:53:02
210,5,40,23838.46,2014-09-08,15:01:41
211,111,20,21864.74,2023-08-31,14:02:30
212,104,32,33201.43,2024-06-16,09:08:30
213,65,17,26712.51,2011-08-18,00:52:05
214,7,5,27663.86,2020-01-10,00:22:25
215,111,37,31727.08,2023-07-05,05:35:52
216,127,5,32379.64,2024-08-13,18:16:56
217,185,1,30753.51,2023-08-26,14:54:44
218,10,12,27680.36,2015-04-10,11:56:26
219,151,24,28309.44,2016-03-13,06:42:58
220,136,11,5329.51,2019-01-21,11:15:09
221,185,37,16471.75,2024-04-13,02:41:01
222,2,50,2736.71,2023-09-29,22:27:03
223,129,21,15505.86,2023-09-06,12:03:30
224,145,37,36342.85,2022-04-08,16:52:28
225,116,34,41304.18,2018-08-24,07:44:39
226,104,50,33948.32,2022-04-07,14:17:39
227,74,33,37961.0,2021-10-26,23:13:16
228,139,32,620.76,2014-06-09,20:13:47
229,74,10,36212.51,2020-11-03,15:09:58
230,165,32,27159.01,2019-01-23,11:27:57
231,172,9,42782.82,2014-10-05,23:50:08
232,5,30,4724.71,2021-06-30,14:16:13
233,74,19,47944.37,2009-05-24,00:57:09
234,103,7,18126.33,2024-08-05,06:42:33
235,108,15,160.29,2020-01-04,13:33:25
236,46,5,3239.44,2024-05-24,22:04:56
237,66,39,43376.99,2010-07-26,03:22:55
238,37,5,36860.9,2020-12-17,15:54:03
239,176,35,31540.67,2024-07-22,07:44:26
240,41,33,918.4,2024-05-14,21:44:41
241,93,37,9672.04,2023-01-05,00:56:59
242,43,43,16706.31,2024-04-18,11:42:52
243,82,45,39885.48,2020-07-07,00:36:00
244,162,22,14296.7,2022-02-02,06:13:22
245,116,32,1514.81,2023-02-12,21:38:39
246,10,27,44269.87,2022-02-12,19:17:48
247,138,38,24761.89,2023-05-26,14:20:10
248,10,20,44012.67,2022-09-04,14:13:00
249,35,27,15686.73,2015-05-12,12:05:34
250,58,13,44159.53,2019-10-29,08:47:13
251,52,12,1336.75,2023-04-17,05:29:19
252,70,47,40786.81,2023-11-07,00:18:43
253,64,43,41982.87,2017-01-18,01:32:02
254,55,1,49019.06,2011-10-25,23:20:23
255,140,49,915.82,2011-06-25,08:11:36
256,123,28,11934.04,2014-11-23,11:05:02
257,167,29,40371.34,2020-07-05,16:45:46
258,24,33,24034.24,2017-11-05,23:26:02
259,195,23,40287.06,2024-02-18,08:56:10
260,123,28,14115.43,2005-06-14,20:40:12
261,87,18,34455.36,2021-04-14,11:16:46
262,169,6,27042.74,2022-03-18,10:22:36
263,79,12,26640.63,2024-06-08,03:38:01
264,158,5,47826.95,2007-07-07,00:31:59
265,45,32,23396.87,2023-10-10,00:04:04
266,136,1,12443.64,2020-10-16,12:04:31
267,61,16,17687.2,2019-07-11,20:49:19
268,62,31,36493.3,2023-05-26,07:33:18
269,39,34,48479.7,2017-05-03,17:58:34
270,82,15,48569.08,2022-10-30,16:39:47
271,187,7,5873.17,2020-08-03,23:06:01
272,179,22,47828.6,2015-02-28,15:58:36
273,128,23,24983.57,2015-01-13,01:46:08
274,163,23,49494.14,2016-08-13,15:17:53
275,115,13,10841.19,2016-06-22,19:31:34
276,126,15,18870.05,2015-05-15,23:09:46
277,153,49,24613.31,2023-07-17,20:02:53
278,127,1,2299.68,2024-05-22,20:56:58
279,71,36,43231.91,2024-01-23,21:27:40
280,80,23,23577.9,2023-04-16,00:49:58
281,22,11,1743.46,2023-06-04,06:52:46
282,65,49,47819.06,2012-09-08,10:55:03
283,100,33,12676.25,2023-10-16,07:20:15
284,50,8,5822.89,2012-01-23,09:15:22
285,159,13,13342.17,2015-10-10,14:49:43
286,62,20,4530.69,2019-10-12,09:01:06
287,143,15,10140.43,2023-10-10,01:43:42
288,97,31,18635.49,2021-06-27,10:20:02
289,152,18,32493.27,2022-10-29,10:44:51
290,35,15,43003.96,2019-04-11,13:40:06
291,78,12,19678.83,2022-12-31,22:38:05
292,199,10,41047.22,2021-08-22,00:51:34
293,1,37,27963.94,2023-01-08,11:03:11
294,92,39,30698.82,2019-03-25,09:37:11
295,111,10,26124.74,2019-09-21,07:54:06
296,157,46,35270.63,2024-03-30,04:40:27
297,88,10,44986.18,2022-07-09,02:56:53
298,107,5,34376.72,2017-01-05,15:19:37
299,37,4,34994.88,2020-01-08,11:43:35
300,164,23,2211.62,2014-03-09,13:26:06
301,118,50,38955.7,2016-03-22,18:12:50
302,85,11,18622.11,2019-07-11,16:31:20
303,142,37,37474.99,2020-05-01,05:41:13
304,172,45,21639.73,2019-01-06,07:09:38
305,35,20,4223.81,2018-04-05,12:25:19
306,34,17,22909.78,2024-03-18,16:08:59
307,86,8,29448.53,2008-04-03,06:57:07
308,160,8,39444.94,2012-10-02,01:47:50
309,25,44,37866.56,2024-07-23,04:27:02
310,89,30,24514.62,2022-10-16,09:22:48
311,187,35,32792.26,2019-11-27,14:13:53
312,158,33,46627.46,2018-07-10,20:27:08
313,200,49,43213.48,2023-12-03,04:15:05
314,70,28,25710.23,2016-08-19,05:54:01
315,178,12,18227.14,2024-05-27,18:42:53
316,71,25,5640.97,2023-12-05,06:45:34
317,60,42,11490.99,2024-05-13,22:34:26
318,185,10,19090.04,2024-03-20,16:21:06
319,18,38,6277.54,2016-12-16,00:02:12
320,35,50,25001.62,2009-07-25,00:53:24
321,158,5,44721.72,2015-11-24,16:31:46
322,88,7,3383.82,2010-02-11,14:28:02
323,88,20,22859.44,2023-01-11,15:58:07
324,126,12,37764.1,2022-02-17,00:05:49
325,107,26,23186.57,2022-01-23,02:37:02
326,108,23,9604.45,2020-02-23,18:45:27
327,48,36,20667.13,2017-03-02,07:34:17
328,187,24,27209.66,2017-12-16,07:20:45
329,181,23,6722.59,2016-06-13,03:33:03
330,2,15,25282.48,2023-09-13,00:42:49
331,144,46,33180.3,2016-10-16,16:32:46
332,187,35,2867.18,2020-01-27,05:23:42
333,127,21,18113.32,2024-06-14,20:39:21
334,19,43,39553.98,2022-10-11,19:18:19
335,59,22,42.13,2017-11-05,23:51:42
336,130,21,4347.78,2019-10-18,21:08:01
337,191,20,39891.25,2024-08-21,07:29:10
338,180,26,30516.51,2012-03-02,05:18:15
339,128,1,8770.85,2021-12-25,03:14:36
340,6,14,23913.45,2011-12-26,15:10:49
341,100,33,15796.99,2021-02-23,08:14:56
342,157,35,5647.84,2023-01-12,15:04:16
343,172,43,12420.99,2023-10-03,15:21:41
344,47,40,28378.34,2016-10-19,18:29:30
345,68,1,16441.13,2021-10-28,21:49:26
346,12,17,16438.64,2019-12-26,03:48:27
347,134,34,34586.86,2021-06-12,10:51:32
348,170,33,22534.3,2024-04-03,07:18:59
349,89,11,46392.54,2015-05-22,05:22:30
350,109,14,30550.42,2023-10-03,19:52:56
351,55,30,43501.51,2016-04-20,15:36:05
352,59,21,29229.64,2017-08-12,16:41:48
353,67,31,24260.77,2014-01-04,01:32:58
354,130,22,47419.44,2012-05-28,13:27:15
355,195,46,22871.11,2024-08-04,03:17:50
356,86,3,37069.19,2010-08-14,23:44:47
357,40,2,7482.34,2016-02-15,10:54:02
358,101,15,28121.6,2021-05-05,09:44:26
359,107,8,30549.77,2020-06-20,07:37:14
360,58,11,47525.56,2020-12-26,14:30:12
361,36,43,20383.0,2017-12-02,05:33:11
362,175,22,39491.29,2022-05-07,10:58:23
363,111,18,26709.13,2018-01-02,06:41:47
364,132,16,46871.15,2015-05-22,11:18:41
365,49,15,26063.5,2017-08-03,02:58:43
366,37,42,8133.64,2009-04-27,06:31:41
367,181,46,43549.49,2019-04-22,02:28:48
368,148,32,16077.48,2021-08-19,03:54:25
369,184,41,5186.78,2024-03-27,01:25:05
370,154,26,31276.72,2022-02-13,07:15:08
371,24,20,36563.81,2014-07-13,05:37:41
372,69,21,12286.24,2013-04-18,21:47:22
373,185,13,9470.24,2022-03-10,10:39:51
374,65,30,817.26,2023-11-18,08:04:15
375,184,22,44746.4,2023-06-04,23:20:15
376,7,4,18913.81,2024-07-15,12:17:17
377,48,23,47963.42,2017-03-13,01:15:03
378,98,13,3219.56,2021-11-28,12:36:25
379,162,49,47543.63,2016-06-15,16:05:34
380,108,21,39570.92,2020-05-01,15:07:14
381,177,17,28111.35,2024-05-15,14:58:55
382,67,25,20295.66,2013-11-23,14:25:03
383,174,2,30549.5,2021-11-02,05:48:20
384,121,9,328.84,2017-07-18,20:55:08
385,112,9,45839.52,2023-11-07,20:19:37
386,67,31,28470.05,2022-07-23,03:12:53
387,126,36,27426.13,2022-05-21,09:57:16
388,34,29,1744.29,2016-01-21,19:59:05
389,142,20,617.4,2020-05-24,22:19:41
390,179,43,19755.62,2023-05-12,13:20:32
391,34,41,21825.82,2015-12-26,06:40:01
392,36,48,31263.79,2021-11-15,19:17:44
393,183,10,9903.41,2013-10-14,12:49:29
394,138,16,1194.7,2024-02-19,10:04:37
395,111,17,40024.92,2016-12-23,20:19:43
396,85,49,18736.28,2014-08-24,23:34:31
397,129,7,15258.12,2023-05-24,08:59:27
398,54,45,12397.19,2022-10-26,17:31:34
399,137,49,25872.55,2012-10-26,04:46:44
400,140,4,3151.01,2012-11-08,07:38:36
401,112,42,43310.97,2023-06-15,00:23:47
402,174,18,2372.98,2021-01-08,06:07:39
403,126,10,45173.05,2010-06-28,09:28:19
404,189,43,1192.19,2022-08-05,20:15:07
405,129,13,2135.29,2024-08-01,04:20:20
406,189,8,1543.12,2023-07-14,16:16:42
407,170,25,41204.98,2023-11-13,20:55:18
408,5,25,33767.73,2021-01-19,00:06:35
409,146,47,25880.13,2015-12-14,17:38:25
410,48,29,32585.77,2024-02-05,17:42:19
411,159,32,1397.43,2021-02-10,15:48:04
412,184,50,13126.29,2021-01-07,20:30:49
413,190,50,29190.39,2024-02-22,15:42:35
414,55,19,9566.6,2014-08-24,01:46:06
415,132,39,33925.94,2024-08-03,07:44:41
416,2,8,40800.68,2023-09-28,02:26:26
417,53,29,8580.19,2016-04-03,17:43:42
418,79,24,16221.03,2024-05-20,16:37:22
419,110,47,35178.84,2023-05-31,07:36:05
420,155,5,43136.18,2014-08-10,04:41:05
421,174,14,22321.29,2023-05-11,10:41:10
422,139,17,36508.65,2019-08-06,23:02:45
423,189,45,12355.73,2023-01-06,21:34:29
424,156,4,16974.25,2023-07-04,07:56:59
425,110,27,32150.09,2024-03-19,19:14:40
426,34,1,41654.84,2021-09-06,00:54:07
427,80,18,27637.04,2024-03-27,22:24:39
428,142,11,45166.44,2023-03-21,14:41:36
429,127,35,16160.86,2024-05-29,10:07:56
430,78,4,14715.83,2024-01-18,17:58:04
431,80,35,35564.76,2021-07-28,12:26:15
432,76,12,4961.93,2023-12-27,09:27:02
433,189,39,4779.59,2021-08-26,18:25:00
434,131,47,38859.7,2017-03-10,14:49:35
435,52,1,43877.46,2023-12-20,10:44:35
436,80,17,12746.78,2021-05-04,21:30:22
437,93,13,8460.47,2024-01-04,09:24:00
438,47,5,18242.23,2019-01-06,14:56:12
439,141,30,5504.2,2023-08-18,00:24:07
440,124,25,42755.03,2021-06-15,03:09:59
441,26,33,10584.94,2023-05-08,21:03:22
442,85,24,28413.63,2019-06-20,16:18:01
443,2,33,43292.48,2023-02-17,01:45:37
444,52,36,8911.33,2024-08-02,18:57:43
445,46,10,49226.65,2014-12-16,20:46:33
446,133,6,27295.74,2024-03-18,20:53:45
447,164,1,22200.76,2015-02-03,13:04:36
448,150,44,15749.16,2021-04-27,11:51:09
449,57,27,19722.82,2019-10-29,11:51:57
450,123,16,33275.16,2009-10-21,18:41:26
451,54,38,37703.46,2023-06-01,23:01:37
452,191,31,33291.94,2024-08-16,11:18:15
453,89,20,41570.73,2016-10-23,05:41:07
454,126,49,18422.42,2023-01-03,16:49:52
455,137,33,29111.96,2017-02-16,13:18:10
456,111,13,13754.2,2015-03-09,22:15:36
457,156,13,18643.44,2024-08-01,05:04:50
458,135,27,11483.64,2021-08-30,14:20:10
459,47,15,44998.99,2021-09-09,00:42:39
460,45,1,14169.15,2023-09-09,10:37:52
461,69,39,20664.86,2009-12-09,20:52:55
462,162,20,15913.42,2020-11-14,23:13:50
463,70,26,11095.83,2022-09-20,23:33:42
464,76,42,23006.79,2012-09-17,17:44:19
465,99,47,33938.75,2023-12-05,09:19:10
466,71,24,6377.1,2023-10-10,10:00:36
467,131,10,47561.46,2023-09-25,01:07:59
468,171,19,44180.06,2015-01-11,15:47:04
469,100,5,43445.73,2024-05-11,08:32:13
470,134,33,14732.46,2020-05-30,00:07:36
471,77,8,6056.13,2022-07-19,05:59:22
472,168,30,22203.45,2023-10-10,05:50:38
473,119,4,21276.64,2021-03-26,14:32:00
474,153,31,28495.31,2022-10-07,01:49:49
475,2,2,2882.91,2021-11-25,04:18:25
476,163,7,11653.21,2017-04-08,21:14:11
477,60,41,19411.34,2023-04-28,01:01:28
478,149,44,38557.13,2024-08-05,03:55:45
479,51,30,17050.4,2022-11-22,22:54:52
480,73,40,10745.6,2008-02-12,11:15:37
481,70,31,33962.19,2017-05-09,07:01:14
482,108,23,16769.7,2021-02-22,07:59:32
483,14,40,47878.54,2021-07-29,00:38:08
484,171,3,12550.13,2017-05-25,17:54:12
485,88,5,19791.44,2016-10-02,03:44:52
486,26,41,32261.62,2023-01-08,22:55:22
487,4,22,8675.73,2013-04-09,21:42:17
488,47,27,44026.75,2011-10-01,08:11:11
489,66,21,14737.43,2015-12-05,21:56:41
490,18,29,23811.23,2017-10-09,07:00:14
491,163,36,31895.47,2014-04-01,08:36:25
492,17,23,20917.24,2018-03-21,19:10:40
493,28,10,12517.57,2022-06-21,07:44:51
494,93,44,21404.61,2021-06-14,09:24:34
495,182,23,35816.26,2024-06-15,19:33:52
496,110,28,6715.16,2024-08-03,04:39:41
497,184,8,64.69,2021-01-23,12:05:10
498,174,7,37948.3,2019-12-06,01:14:00
499,148,16,15540.89,2021-06-27,19:03:13
500,4,28,9757.39,2016-08-16,08:38:47
501,166,1,15678.64,2021-11-05,06:54:22
502,31,26,44318.65,2024-05-29,19:58:30
503,198,45,44248.33,2024-02-11,16:08:54
504,175,45,29863.25,2023-03-30,17:16:26
505,61,4,19812.56,2014-08-10,07:05:57
506,77,8,37127.65,2020-01-05,15:45:36
507,92,18,25228.41,2019-08-19,17:33:27
508,68,8,49156.74,2021-02-07,14:42:19
509,63,12,29447.2,2014-08-04,17:41:32
510,95,41,32519.8,2024-05-28,23:32:30
511,176,28,35469.49,2023-11-27,18:20:05
512,186,4,25949.28,2022-11-19,05:38:44
513,152,10,39350.67,2021-05-20,22:29:24
514,138,14,36842.27,2024-02-10,02:32:05
515,42,18,47995.43,2017-12-23,17:43:20
516,122,12,26710.93,2022-03-26,11:19:52
517,97,22,36983.06,2022-12-03,12:22:20
518,111,21,15739.97,2020-05-08,14:27:06
519,160,41,8955.88,2011-08-18,03:26:25
520,177,17,16887.7,2024-06-04,08:31:37
521,32,40,3974.4,2024-06-16,18:32:16
522,155,44,37158.43,2009-09-06,12:56:34
523,122,31,3170.86,2015-08-15,18:32:58
524,61,18,46842.53,2024-06-20,21:16:24
525,177,38,16475.22,2024-07-05,05:00:42
526,142,15,17964.47,2021-09-19,15:27:50
527,30,27,39609.77,2024-08-14,05:22:15
528,13,18,19006.03,2021-09-07,20:11:53
529,200,20,170.29,2024-01-08,18:00:51
530,143,27,35166.63,2014-07-04,16:39:11
531,194,1,41722.76,2024-01-08,02:23:06
532,24,43,42809.09,2013-01-22,18:39:42
533,26,19,27908.97,2016-02-08,12:15:44
534,43,11,18110.56,2017-11-28,13:19:58
535,120,24,41211.64,2015-03-31,15:54:32
536,94,31,6100.29,2022-11-25,14:18:42
537,196,17,38484.87,2013-12-24,17:42:41
538,149,41,526.53,2023-12-06,08:23:25
539,79,3,44044.56,2024-05-23,01:20:27
540,1,44,24036.59,2021-11-21,12:31:59
541,78,5,3024.44,2024-04-02,04:13:56
542,17,45,39190.9,2017-09-23,00:29:36
543,18,43,6246.93,2008-12-19,06:53:45
544,199,46,21206.36,2015-10-27,08:25:13
545,196,42,26659.4,2022-12-11,08:41:26
546,78,28,26220.13,2024-03-25,05:05:44
547,76,9,18707.35,2012-07-17,18:03:17
548,172,34,14483.4,2018-09-04,16:41:41
549,53,4,34260.01,2020-02-25,04:13:59
550,37,39,34387.24,2008-12-21,17:41:06
551,198,14,49683.22,2024-07-29,07:43:16
552,157,50,46999.47,2020-01-19,07:02:17
553,121,1,11572.35,2018-09-10,14:30:32
554,110,19,4930.58,2022-10-01,20:29:36
555,195,19,1398.94,2022-04-30,03:49:57
556,144,36,31610.07,2024-03-09,22:54:58
557,189,39,49889.6,2021-08-09,17:05:39
558,93,2,25557.19,2022-12-19,07:45:41
559,138,44,35399.6,2024-04-25,08:12:27
560,153,27,18760.93,2020-02-06,11:26:19
561,110,17,43219.97,2024-07-11,15:25:02
562,152,19,7484.13,2020-11-10,12:27:55
563,177,48,5610.95,2024-06-30,23:10:04
564,4,1,32638.98,2016-11-14,11:18:06
565,2,43,42107.66,2022-05-06,04:33:09
566,142,11,16322.49,2020-10-21,15:11:59
567,195,4,19562.86,2022-10-18,02:13:17
568,115,22,21689.8,2016-11-24,19:33:43
569,197,47,49811.55,2022-07-30,22:09:04
570,69,18,18637.78,2022-09-20,04:45:48
571,109,45,13424.1,2024-02-23,06:10:42
572,19,24,39414.8,2017-07-26,16:46:05
573,6,27,31459.65,2012-03-19,20:38:29
574,43,22,541.95,2023-11-21,07:04:45
575,92,49,24063.65,2019-04-10,04:09:34
576,103,17,40354.91,2024-07-13,23:16:17
577,39,30,33100.43,2016-05-14,20:58:35
578,100,22,4912.95,2024-02-04,15:18:43
579,33,20,2627.32,2023-09-03,11:24:42
580,133,43,44282.65,2024-08-18,11:58:30
581,161,17,118.07,2023-11-16,14:18:43
